,Rasmussen Jacob,Duursma Iwan Maynard,Thorner Jesse,Balogh József,Cooney Daniel B,Feng Runhuan,Hirani Anil N,Mineyev Igor,La Nave Gabriele,Guzman Rosemary K,Junge Marius,Stojanoska Vesna,Reznick Bruce,Hur Vera Mikyoung,Berwick-Evans Daniel,Wei Wei,Quan Zhiyu,Kedem Rinat,Ahlgren Scott D,Fernandes Rui Loja,Rapti Zoi,Kutzarova Denka N,Kirr Eduard,Ivanov Sergei Vladimirovich,Bronski Jared C,Oikhberg Timur,Kerman Ely,Janda Felix,Ford Kevin B,Laugesen Richard Snyder,Mc Carthy Randy,Young Amanda,Tyson Jeremy T,Zaharescu Alexandru,Li Xiaochun,Jing Xiaochen,Hung Pei-Ken,Rasmussen Sarah Dean,De Ville R E Lee,Sowers Richard B,Albin Pierre,Fadina Tolulope,Baryshnikov Yuliy M,Heller Jeremiah Ben,Tzirakis Nikolaos,Wu Xuan,Leditzky Felix,Dey Partha Sarathi,Nikolaev Igor G,Yong Alexander T F,Song Renming,Tumanov Alexander,Erdoğan Mehmet Burak,Dodd Christopher,Boca Florin-Petre,Kirkpatrick Kay Lene,Lerman Eugene M,Hinkkanen Aimo,Pascaleff James Thomas,Di Francesco Philippe,Zharnitsky Vadim,Liu Yuan,Rezk Charles W,Dutta Sankar Prasad,Dunfield Nathan M,Bradlow Steven Benjamin,Haboush William J,Tolman Susan,Katz Sheldon H,Kostochka Alexandr V
Mc Carthy Randy,2,3,2,2,0,1,1,4,1,2,5,5,3,1,3,0,0,1,3,3,1,3,1,4,1,2,2,2,4,2,16,1,4,6,3,0,1,1,1,2,1,0,2,5,3,0,0,1,1,2,2,2,4,3,4,1,5,3,2,1,1,1,6,3,4,4,4,4,2,1
Young Amanda,1,1,1,1,0,1,2,2,2,2,5,1,1,3,2,0,0,3,1,3,2,1,3,1,3,3,1,1,1,3,1,7,1,2,2,0,3,2,2,1,3,0,3,2,1,1,3,2,1,1,1,1,3,1,2,5,2,2,1,6,3,1,2,2,1,2,1,2,2,1
Tyson Jeremy T,2,2,4,7,1,1,1,4,3,1,12,4,10,5,3,0,0,2,9,6,2,5,2,11,1,7,2,4,12,8,4,1,38,17,7,0,3,2,1,6,4,0,6,3,6,1,0,1,4,7,10,10,11,2,8,2,4,15,1,2,2,2,3,6,4,6,2,4,4,2
Zaharescu Alexandru,6,6,13,12,0,2,1,4,7,1,25,6,16,6,4,0,0,8,25,10,1,15,3,15,3,15,5,6,29,13,6,2,17,108,6,0,2,3,1,6,6,0,11,6,6,0,1,1,4,16,14,8,13,4,26,2,10,14,3,5,6,4,4,10,7,13,6,9,9,5
Li Xiaochun,2,2,3,3,0,1,2,4,4,2,9,3,6,2,2,0,0,2,4,5,1,4,1,3,1,4,1,2,6,6,3,2,7,6,23,0,3,2,1,3,4,0,2,4,3,0,0,1,1,5,6,6,8,1,4,3,4,6,2,2,2,1,6,5,4,2,4,3,5,1
Jing Xiaochen,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Hung Pei-Ken,1,1,2,1,0,1,1,2,4,1,6,2,1,2,2,0,0,2,2,4,1,1,2,2,2,1,2,1,2,4,1,3,3,2,3,1,11,1,2,2,4,1,3,2,2,1,2,2,1,2,1,3,3,1,2,5,3,2,1,2,2,1,2,2,2,4,2,4,4,1
Rasmussen Sarah Dean,3,2,2,2,0,1,2,2,2,2,2,2,2,2,2,0,0,2,3,2,1,1,1,2,1,2,2,2,2,1,1,2,2,3,2,0,1,4,1,1,2,0,2,2,1,0,0,1,1,3,1,1,3,1,1,1,2,2,2,3,2,2,2,2,1,1,1,2,1,1
De Ville R E Lee,1,1,2,3,2,1,2,1,1,1,3,1,2,3,1,0,0,2,1,1,4,1,2,1,7,2,1,1,2,1,1,2,1,1,1,0,2,1,24,3,3,0,6,1,5,1,0,3,1,1,2,1,5,1,3,6,4,2,1,3,6,1,1,1,1,1,1,1,1,1
Sowers Richard B,2,2,3,8,0,4,1,1,1,1,8,3,5,3,2,0,0,1,4,3,2,4,2,4,4,4,1,1,6,4,2,1,6,6,3,0,2,1,3,30,2,0,6,3,7,1,0,5,1,4,9,3,5,2,4,2,5,4,1,1,3,1,2,4,5,2,2,3,3,2
